id,title,category,company,format,level,salary,link
30227,react developer,development,Softnetix,офис Минск,junior,от 48 000 ₽,https://hirehi.ru/development/react-developer-30227
30226,react developer,development,OptimusFox,удалённо,middle,~ от 239 800 ₽,https://hirehi.ru/development/react-developer-30226
30225,System Analyst,analytics,Альфа-Банк,удалённо по РФ,senior,~ от 305 200 ₽,https://hirehi.ru/analytics/system-analyst-30225
30223,C# разработчик,development,Альфа-Банк,удалённо по РФ,senior,~ от 324 100 ₽,https://hirehi.ru/development/c-razrabotchik-30223
30222,инженер по тестированию (manual),qa,Альфа-Банк,удалённо по РФ,middle,~ от 207 100 ₽,https://hirehi.ru/qa/inzhener-po-testirovaniyu-manual-30222
30220,c#/.net разработчик,development,mmz.group,удалённо,junior,от 150 000 ₽,https://hirehi.ru/development/c-net-razrabotchik-30220
30219,fullstack developer,development,formatta.ru,удалённо,lead,400 000 ₽,https://hirehi.ru/development/fullstack-developer-30219
30218,аналитик данных,analytics,13tm,удалённо по РФ,middle,от 320 000 ₽,https://hirehi.ru/analytics/analitik-dannyh-30218
30217,Дата аналитик,analytics,Ipoteka Bank,офис Ташкент,senior,~ от 204 200 ₽,https://hirehi.ru/analytics/data-analitik-30217
30216,devops engineer,devops,OUTKOD,удалённо по РФ,middle,от 190 000 ₽,https://hirehi.ru/devops/devops-engineer-30216
30215,data engineer,development,NDA,удалённо,senior,от 288 000 ₽,https://hirehi.ru/development/data-engineer-30215
30214,c++ developer,development,Eltex,офис Новосибирск,middle,~ от 168 800 ₽,https://hirehi.ru/development/c-developer-30214
30213,fullstack developer,development,Simplenight,гибрид Алматы,senior,~ от 340 000 ₽,https://hirehi.ru/development/fullstack-developer-30213
30207,ux/ui дизайнер,design,NDA,гибрид Минск,middle,от 120 000 ₽,https://hirehi.ru/design/ux-ui-dizainer-30207
30206,Продуктовый аналитик,analytics,Мегафон,офис Москва,lead,~ от 354 900 ₽,https://hirehi.ru/analytics/produktovyi-analitik-30206
30205,qa engineer (manual),qa,Aloha Mobile,офис Лимассол,middle,от 269 600 ₽,https://hirehi.ru/qa/qa-engineer-manual-30205
30204,product manager,management,Cobalt Lab,удалённо,middle,~ от 253 900 ₽,https://hirehi.ru/management/product-manager-30204
30203,product manager,management,Kaspi.kz,офис Алматы,junior,~ от 122 900 ₽,https://hirehi.ru/management/product-manager-30203
30202,backend developer,development,Arna Intelligence,удалённо,middle,от 128 000 ₽,https://hirehi.ru/development/backend-developer-30202
30201,data analyst,analytics,Kaspi.kz,офис Алматы,middle,~ от 168 600 ₽,https://hirehi.ru/analytics/data-analyst-30201
30200,qa engineer (manual),qa,Ultra Stellar,удалённо,middle,~ от 215 800 ₽,https://hirehi.ru/qa/qa-engineer-manual-30200
30197,qa engineer (manual),qa,itvolna.tech,удалённо по РФ,senior,240 000 ₽,https://hirehi.ru/qa/qa-engineer-manual-30197
30196,security engineer,development,Сбер,офис Москва,middle,~ от 220 500 ₽,https://hirehi.ru/development/security-engineer-30196
30194,java разработчик,development,TREDO,гибрид Алматы,middle,~ от 166 800 ₽,https://hirehi.ru/development/java-razrabotchik-30194
30193,golang developer,development,NDA,удалённо,senior,~ от 358 300 ₽,https://hirehi.ru/development/golang-developer-30193
30192,php разработчик,development,Else x IT Factory,удалённо,senior,~ от 140 000 ₽,https://hirehi.ru/development/php-razrabotchik-30192
30191,Product Manager,management,Globerce Capital,гибрид Алматы,middle,~ от 236 000 ₽,https://hirehi.ru/management/product-manager-30191
30190,ai engineer,development,Globerce,гибрид Алматы,middle,~ от 209 400 ₽,https://hirehi.ru/development/ai-engineer-30190
30188,project manager,management,Yellow Yeti,гибрид Москва,middle,~ от 197 000 ₽,https://hirehi.ru/management/project-manager-30188
30187,Kotlin Developer,development,Яндекс Финтех,гибрид Питер,senior,~ от 358 100 ₽,https://hirehi.ru/development/kotlin-developer-30187
30184,системный аналитик,analytics,Top Selection,удалённо по РФ,lead,от 304 000 ₽,https://hirehi.ru/analytics/sistemnyi-analitik-30184
30183,devops engineer,devops,Arbuz.kz,офис Алматы,senior,~ от 243 600 ₽,https://hirehi.ru/devops/devops-engineer-30183
30181,data analyst,analytics,STRABA,удалённо,senior,от 329 000 ₽,https://hirehi.ru/analytics/data-analyst-30181
30180,go разработчик,development,Halyk Bank,офис,senior,~ от 233 700 ₽,https://hirehi.ru/development/go-razrabotchik-30180
30179,backend developer,development,Grid Dynamics,офис Ереван,senior,~ от 353 700 ₽,https://hirehi.ru/development/backend-developer-30179
30178,владелец продукта,management,Т1,гибрид Москва,senior,~ от 312 900 ₽,https://hirehi.ru/management/vladelets-produkta-30178
30177,product analyst,analytics,Hypernova,удалённо,middle,~ от 202 500 ₽,https://hirehi.ru/analytics/product-analyst-30177
30173,графический дизайнер,design,NDA,удалённо,middle,~ от 117 700 ₽,https://hirehi.ru/design/graficheskii-dizainer-30173
30171,fullstack developer,development,NDA,удалённо,middle,от 40 000 ₽,https://hirehi.ru/development/fullstack-developer-30171
30170,менеджер продукта,management,Т-Банк,офис Москва,middle,~ от 258 600 ₽,https://hirehi.ru/management/menedzher-produkta-30170
30169,product analyst,analytics,Simple,удалённо,middle,~ от 255 400 ₽,https://hirehi.ru/analytics/product-analyst-30169
30168,golang engineer,development,SoftwareCountry,удалённо,lead,~ от 514 300 ₽,https://hirehi.ru/development/golang-engineer-30168
30166,golang engineer,development,Plata Card,удалённо,middle,~ от 328 700 ₽,https://hirehi.ru/development/golang-engineer-30166
30165,automation qa,qa,Mayflower,офис Лимассол,middle,~ от 282 100 ₽,https://hirehi.ru/qa/automation-qa-30165
30164,qa engineer (manual),qa,BotConversa,удалённо,middle,от 160 000 ₽,https://hirehi.ru/qa/qa-engineer-manual-30164
30163,automation qa,qa,SimbirSoft,удалённо,middle,~ от 138 800 ₽,https://hirehi.ru/qa/automation-qa-30163
30160,PHP Developer,development,Tribe,удалённо,senior,~ от 347 900 ₽,https://hirehi.ru/development/php-developer-30160
30158,iOS разработчик,development,Salmon,удалённо,senior,~ от 332 000 ₽,https://hirehi.ru/development/ios-razrabotchik-30158
30157,Android Developer,development,Salmon,удалённо,middle,~ от 235 100 ₽,https://hirehi.ru/development/android-developer-30157
