country,role,level,min_eur,max_eur,range_eur
Belgium,Data Engineer,co,67,88,21
Belgium,Devops Engineer,sme,51,61,10
Belgium,Devops Engineer,st,57,70,13
Belgium,Devops Engineer,co,66,81,15
Belgium,Frontend Developer,sme,51,60,9
Belgium,Frontend Developer,st,60,75,15
Belgium,Frontend Developer,co,72,84,12
Belgium,Full Stack Developer,sme,50,62,12
Belgium,Full Stack Developer,st,60,77,17
Belgium,Full Stack Developer,co,62,78,16
Belgium,Machine Learning Engineer,sme,50,56,6
Belgium,Machine Learning Engineer,st,65,76,11
Belgium,Machine Learning Engineer,co,72,84,12
Belgium,Network Architect,sme,51,61,10
Belgium,Network Architect,st,57,68,11
Belgium,Network Architect,co,76,92,16
Belgium,Python Developer,sme,42,50,8
Belgium,Python Developer,st,50,61,11
Belgium,Python Developer,co,50,62,12
Belgium,QA Analyst,sme,48,56,8
Belgium,QA Analyst,st,52,60,8
Belgium,QA Analyst,co,52,60,8
Belgium,QA Engineer,sme,43,51,8
Belgium,QA Engineer,st,53,60,7
Belgium,QA Engineer,co,53,63,10
Belgium,QA Manager,sme,76,95,19
Belgium,QA Manager,st,86,105,19
Belgium,QA Manager,co,86,105,19
Belgium,Salesforce Developer,sme,40,47,7
Belgium,Salesforce Developer,st,41,48,7
Belgium,Salesforce Developer,co,45,55,10
Belgium,Scrum Master,sme,51,58,7
Belgium,Scrum Master,st,54,64,10
Belgium,Scrum Master,co,65,76,11
Belgium,Software Developer,sme,50,55,5
Belgium,Software Developer,st,63,73,10
Belgium,Software Developer,co,66,78,12
Belgium,Software Engineer,sme,48,62,14
Belgium,Software Engineer,st,52,70,18
Belgium,Software Engineer,co,67,88,21
Belgium,Software Engineering Manager,sme,64,71,7
Belgium,Software Engineering Manager,st,84,92,8
Belgium,Software Engineering Manager,co,114,126,12
Belgium,Solutions Analyst,sme,59,70,11
Belgium,Solutions Analyst,st,60,74,14
Belgium,Solutions Analyst,co,59,73,14
Belgium,Systems Architect,sme,53,64,11
Belgium,Systems Architect,st,62,71,9
Belgium,Systems Architect,co,92,110,18
Belgium,Systems Engineer,sme,55,68,13
Belgium,Systems Engineer,st,70,81,11
Belgium,Systems Engineer,co,70,84,14
Belgium,Test Automation Engineer,sme,38,45,7
