id,title,category,company,level,salary,link,format,city/country
32843,Дата аналитик,analytics,Сбер,middle,136800,https://hirehi.ru/analytics/data-analitik-32843,офис,Екатеринбург
32842,ai engineer,development,AdsRise,middle,117300,https://hirehi.ru/development/ai-engineer-32842,гибрид,Санкт-Петербург
32841,linux system administrator,devops,Т1,middle,121800,https://hirehi.ru/devops/linux-system-administrator-32841,офис,Самара
32840,Java Developer,development,Сбер,middle,246500,https://hirehi.ru/development/java-developer-32840,гибрид,Москва
32839,business analyst,analytics,Akveo,middle,238200,https://hirehi.ru/analytics/business-analyst-32839,удалённо,Не указано
32838,web designer,design,NDA,lead,277200,https://hirehi.ru/design/web-designer-32838,удалённо,Не указано
32837,системный аналитик,analytics,NDA,middle,205700,https://hirehi.ru/analytics/sistemnyi-analitik-32837,удалённо,Не указано
32836,ml engineer,development,Interexy,senior,290000,https://hirehi.ru/development/ml-engineer-32836,удалённо,Не указано
32833,web designer,design,Truv,senior,300600,https://hirehi.ru/design/web-designer-32833,удалённо,Не указано
32829,Data Analyst,analytics,Сбер,middle,147600,https://hirehi.ru/analytics/data-analyst-32829,офис,Екатеринбург
32828,системный аналитик,analytics,Сбер,middle,140900,https://hirehi.ru/analytics/sistemnyi-analitik-32828,офис,Самара
32827,владелец продукта,management,ВТБ,middle,238100,https://hirehi.ru/management/vladelets-produkta-32827,офис,Москва
32826,владелец продукта,management,ВТБ,middle,233000,https://hirehi.ru/management/vladelets-produkta-32826,офис,Москва
32825,php developer,development,NDA,middle,291400,https://hirehi.ru/development/php-developer-32825,удалённо,Не указано
32823,Java Developer,development,Сбер,middle,247100,https://hirehi.ru/development/java-developer-32823,гибрид,Москва
32822,руководитель продукта,management,Альфа-Банк,lead,382000,https://hirehi.ru/management/rukovoditel-produkta-32822,офис,Москва
32820,product analyst,analytics,Extended,middle,400000,https://hirehi.ru/analytics/product-analyst-32820,удалённо,Не указано
32819,аналитик данных,analytics,Сбер,middle,180000,https://hirehi.ru/analytics/analitik-dannyh-32819,офис,Не указано
32818,backend developer,development,ghostbusters,senior,279700,https://hirehi.ru/development/backend-developer-32818,офис,Ереван
32817,java разработчик,development,Volna.tech,middle,243100,https://hirehi.ru/development/java-razrabotchik-32817,удалённо,РФ
32816,Golang разработчик,development,Яндекс Финтех,senior,321900,https://hirehi.ru/development/golang-razrabotchik-32816,гибрид,Москва
